"","cruise_name","station","zoo_gear","ich_gear","lat","lon","region","region_name","strata_47","strata_46","strata_26","date","month","day","year","doy","time","depth","season","sfc_temp","sfc_salt","btm_temp","btm_salt","cluhar_10m2","scosco_10m2","pepspp_10m2","ammspp_10m2","fishsum","min_nonzero","log10_FF","log_mean_FF","sd_FF","runMean_FF"
"1","AR7701",102,"6B3","6B5",40.4833,-68.6167,3,"GB",27,27,14,"11/2/1977",11,2,1977,306,"22:50",80,"Fall",NA,NA,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,-0.0697866962225151,0.609144133780345,-0.0697866962225151
"2","BE7801",134,"6B3","6B5",42.0667,-67.75,3,"GB",32,32,17,"9/1/1978",9,1,1978,244,"16:58",190,"Fall",15.12,32.05,6.59,34.19,0,0,0,0,0,0.93,-0.332547047110046,-0.255492018030715,0.609144133780345,-0.162639357126615
"3","AL7911",110,"6B3","6B5",40.3333,-68.35,3,"GB",26,26,13,"10/21/1979",10,21,1979,294,"19:30",124,"Fall",21.76,35.776,NA,35.435,0,0,0,0,0,0.93,-0.332547047110046,-0.332547047110046,0.609144133780345,-0.219275253787759
"4","AL8010",103,"6B3","6B5",40.4833,-68.6167,3,"GB",27,27,14,"10/17/1980",10,17,1980,291,"22:43",79,"Fall",14.76,32.989,12.25,33.74,0,0,0,0,0,0.93,-0.332547047110046,0.0163370130091099,0.609144133780345,-0.160372187088541
"5","AL8110",22,"6B3","6B5",40.9667,-68.5333,3,"GB",30,30,16,"9/1/1981",9,1,1981,244,"3:05",58,"Fall",NA,NA,NA,NA,0,0,7.74,0,7.74,0.93,0.914078585389112,-0.257157400336356,0.609144133780345,-0.179729229738104
"6","AL8211",268,"6B3","6B5",41.3,-68.3667,3,"GB",31,31,16,"10/19/1982",10,19,1982,292,"10:34",51,"Fall",NA,NA,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,-0.248012880113266,0.609144133780345,-0.215374466516254
"7","AL8308",269,"6B3","6B5",40.25,-68.4333,3,"GB",26,26,13,"10/10/1983",10,10,1983,283,"20:32",154,"Fall",NA,NA,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,-0.332547047110046,0.609144133780345,-0.230785472332121
"8","AL8408",230,"6B3","6B5",40.1167,-68.65,3,"GB",26,26,13,"10/7/1984",10,7,1984,281,"11:17",195,"Fall",NA,NA,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,-0.309634213654446,0.609144133780345,-0.226202905641001
"9","AL8508",282,"6B3","6B5",41.8167,-68.1167,3,"GB",32,32,17,"10/23/1985",10,23,1985,296,"19:10",84,"Fall",NA,NA,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,-0.225875077963404,0.609144133780345,-0.274645323835504
"10","AL8605",219,"6B3","6B5",40.5333,-68.3333,3,"GB",27,27,14,"10/17/1986",10,17,1986,290,"21:33",98,"Fall",NA,NA,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,-0.00883012227852856,0.609144133780345,-0.224979868223938
