"","cruise_name","station","zoo_gear","ich_gear","lat","lon","region","region_name","strata_47","strata_46","strata_26","date","month","day","year","doy","time","depth","season","sfc_temp","sfc_salt","btm_temp","btm_salt","cluhar_10m2","scosco_10m2","pepspp_10m2","ammspp_10m2","fishsum","min_nonzero","log10_FF","log_mean_FF","sd_FF","runMean_FF"
"1","AL9910",186,"6B3Z","6B3I",40.8533,-68.6567,3,"GB",30,30,16,"10/13/1999",10,13,1999,286,"2:44",58,"Fall",15.99,32.669,15.83,32.72,10.04,0,0,0,10.04,0.93,1.02139605674197,1.61749442183466,0.56925180209717,1.61749442183466
"2","AL0006",190,"6B3Z","6B3I",40.3033,-68.3233,3,"GB",26,26,13,"9/25/2000",9,25,2000,269,"13:41",145,"Fall",17.66,32.502,11.94,35.473,0,0,0,0,0,0.93,-0.332547047110046,1.67557385447363,0.56925180209717,1.64653413815415
"3","AL0110",192,"6B3Z","6B3I",40.2617,-68.5433,3,"GB",26,26,13,"9/26/2001",9,26,2001,269,"18:35",140,"Fall",22.5,34.785,11.88,35.523,0,0,0,0,0,0.93,-0.332547047110046,1.0121917401337,0.56925180209717,1.43508667214733
"4","AL0210",189,"6B3Z","6B3I",40.53,-68.68,3,"GB",27,27,14,"10/4/2002",10,4,2002,277,"21:18",69,"Fall",18.88,33.501,13.11,33.766,0,0,0,0,0,0.93,-0.332547047110046,1.15951227518617,0.56925180209717,1.36619307290704
"5","AL0305",96,"6B3Z","6B3I",40.2833,-68.2683,3,"GB",26,26,13,"9/22/2003",9,22,2003,265,"20:04",233,"Fall",23.5,34.568,NA,NA,0,0,0,0,0,0.93,-0.332547047110046,0.999946410975634,0.56925180209717,1.29294374052076
"6","AL0409",177,"6B3Z","6B3I",40.265,-68.7783,3,"GB",27,27,14,"10/6/2004",10,6,2004,280,"8:42",104,"Fall",16.29,32.717,12.95,35.17,0,0,0,0,0,0.93,-0.332547047110046,0.292628163135527,0.56925180209717,1.02797048878093
"7","AL0508",189,"6B3Z","6B3I",40.5133,-68.7267,3,"GB",27,27,14,"10/7/2005",10,7,2005,280,"1:02",70,"Fall",17.76,31.918,12.68,33.432,0,0,0,0,0,0.93,-0.332547047110046,0.375450771865625,0.56925180209717,0.767945872259332
"8","AL0608",191,"6B3Z","6B3I",40.61,-68.7883,3,"GB",27,27,14,"9/28/2006",9,28,2006,271,"6:15",66,"Fall",17.8,32.662,11.2,32.764,0,0,0,0,0,0.93,-0.332547047110046,-0.152306341524464,0.56925180209717,0.535046255927699
"9","AL0707",190,"6B3Z","6B3I",40.9883,-68.8233,3,"GB",27,27,14,"10/6/2007",10,6,2007,279,"2:26",72,"Fall",15.8,32.429,15.55,32.425,0,0,0,0,0,0.93,-0.332547047110046,-0.215759641616474,0.56925180209717,0.25999187256717
"10","DE0810",75,"6B3Z","6B3I",40.11,-68.745,3,"GB",26,26,13,"11/4/2008",11,4,2008,309,"19:49",177,"Fall",22.14,35.737,14.19,35.864,0,0,0,0,0,0.93,-0.332547047110046,0.78394823806925,0.56925180209717,0.216792237985893
"11","DE0911",63,"6B3Z","6B3I",40.7683,-68.685,3,"GB",27,27,14,"11/11/2009",11,11,2009,315,"5:07",63,"Fall",13.25,33.013,16.69,34.836,153.51,0,0,0,153.51,0.93,2.18745021276229,-0.0194624996294637,0.56925180209717,0.154374105432895
"12","DE1012",66,"6B3","6B3",41.0217,-68.5767,3,"GB",30,30,16,"11/14/2010",11,14,2010,318,"23:29",54,"Fall",12.95,32.182,12.63,32.231,18.3,0,0,0,18.3,0.93,1.2733485687491,0.363758462304489,0.56925180209717,0.152035643520667
"13","DE1109",62,"6B3","6B3",40.2533,-68.585,3,"GB",26,26,13,"11/13/2011",11,13,2011,317,"3:05",136,"Fall",15.98,33.808,11.85,35.518,3.13,0,0,0,3.13,0.93,0.555698894718901,1.42862525162466,0.56925180209717,0.468221962150492
"14","HB1206",1189,"6B3Z","6B3I",40.8983,-67.8933,3,"GB",27,27,14,"10/14/2012",10,14,2012,288,"6:42",61,"Fall",16.26,32.646,15.77,32.696,3.36,0,0,0,3.36,0.93,0.582631439489636,0.754124409544141,0.56925180209717,0.662198772382615
"15","GU1305",37,"6B3Z","6B3I",40.415,-68.675,3,"GB",27,27,14,"11/17/2013",11,17,2013,321,"19:09",88,"Fall",12.24,32.803,12.69,34.141,11.32,0,0,0,11.32,0.93,1.07132958686034,1.37627336275645,0.56925180209717,0.780663797320055
"16","HB1405",5789,"6B3Z","6B3I",42.135,-66.605,3,"GB",32,32,17,"10/15/2014",10,15,2014,288,"23:44",91,"Fall",15.72,32.562,8.72,33.075,117.53,0,0,0,117.53,0.93,2.07186360460768,0.579805673065809,0.56925180209717,0.900517431859109
"17","GU1506",75,"6B3Z","6B3I",41.7483,-68.17,3,"GB",31,31,16,"10/21/2015",10,21,2015,294,"8:25",53,"Fall",14.76,32.946,14.73,32.936,131.84,0,0,0,131.84,0.93,2.12157625712308,1.1114606663642,0.56925180209717,1.05005787267105
"18","HB1604",2157,"6B3Z","6B3I",40.4317,-68.4183,3,"GB",27,27,14,"10/17/2016",10,17,2016,291,"2:37",101,"Fall",21.58,35.764,15.19,34.627,0,0,0,0,0,0.93,-0.332547047110046,0.224537343112506,0.56925180209717,0.809240290968621
"19","GU1706",9,"6B3Z","6B3I",41.4183,-68.3333,3,"GB",31,31,16,"11/2/2017",11,2,2017,306,"3:41",54,"Fall",15.06,32.436,14.82,32.522,7.81,0,0,0,7.81,0.93,0.917768002447756,0.599651346875692,0.56925180209717,0.778345678434931
"20","HB1806",6676,"6B3Z","6B3I",41.2433,-66.7617,3,"GB",29,29,15,"10/15/2018",10,15,2018,288,"1:38",75,"Fall",14.11,32.33,NA,NA,21.36,0,0,0,21.36,0.93,1.33895425237761,0.272566945571446,0.56925180209717,0.55760439499793
"21","GU1905",73,"6B3Z","6B3I",40.245,-68.42,3,"GB",26,26,13,"10/26/2019",10,26,2019,299,"10:18",159,"Fall",18.41,34.435,14.59,35.883,0,0,0,0,0,0.93,-0.332547047110046,-0.059590773995877,0.56925180209717,0.429725105585593
"22","HB2103",3000,"6B3Z","6B3I",42.075,-67.13,3,"GB",31,31,16,"10/24/2021",10,24,2021,297,"6:20",57,"Fall",15.82,32.682,15.77,32.688,778.61,0,0,0,778.61,0.93,2.8915792683507,0.0255573858627425,0.56925180209717,0.212544449485302
"23","AL9806",6,"","6B3I",40.42,-68.72,3,"GB",27,27,14,"5/14/1998",5,14,1998,134,"10:19",82,"Spring",6.89,32.146,5.38,32.121,0,0,0,0,0,1.22,-0.214670164989233,0.389408213849339,0.483797772838489,0.389408213849339
"24","AL9904",7,"","6B3I",40.4,-68.74,3,"GB",27,27,14,"5/20/1999",5,20,1999,140,"10:45",68,"Spring",9.39,31.977,NA,NA,0,0,0,0,0,1.22,-0.214670164989233,0.49915396453899,0.483797772838489,0.444281089194165
"25","AL0002",186,"","6B3I",40.425,-68.71,3,"GB",27,27,14,"4/7/2000",4,7,2000,98,"14:45",85,"Spring",7.23,33.133,8.54,34.038,0,0,0,0,0,1.22,-0.214670164989233,-0.153359368953941,0.483797772838489,0.245067603144796
"26","AL0103",174,"6B3Z","6B3I",40.335,-68.6983,3,"GB",27,27,14,"4/2/2001",4,2,2001,92,"12:02",94,"Spring",4.96,32.695,7.83,33.742,0,0,0,0,0,1.22,-0.214670164989233,0.339840003124617,0.483797772838489,0.268760703139751
"27","AL0203",145,"6B3Z","6B3I",40.6833,-67.8683,3,"GB",27,27,14,"3/1/2002",3,1,2002,60,"0:52",80,"Spring",5.52,32.67,5.55,32.685,0,0,0,0,0,1.22,-0.214670164989233,-0.123078060322856,0.483797772838489,0.19039295044723
"28","DE0303",186,"6B3Z","6B3I",40.9033,-68.7333,3,"GB",27,27,14,"4/4/2003",4,4,2003,94,"0:36",64,"Spring",5.13,32.752,5.12,32.719,31.15,0,0,0,31.15,1.22,1.50188049375506,0.167786372251392,0.483797772838489,0.146068582127641
