"","cruise_name","station","zoo_gear","ich_gear","lat","lon","region","region_name","strata_47","strata_46","strata_26","date","month","day","year","doy","time","depth","season","sfc_temp","sfc_salt","btm_temp","btm_salt","volume_1m2","min_nonzero","log10_ZP","log_mean_ZP","sd_ZP","runMean_ZP"
"1","AR7701",102,"6B3","6B5",40.4833,-68.6167,3,"GB",27,27,14,"11/2/1977",11,2,1977,306,"22:50",80,"Fall",NA,NA,NA,NA,33.72,0.24,1.52943035436699,1.22044073795801,0.126030783601807,1.22044073795801
"2","BE7801",134,"6B3","6B5",42.0667,-67.75,3,"GB",32,32,17,"9/1/1978",9,1,1978,244,"16:58",190,"Fall",15.12,32.05,6.59,34.19,23.05,0.24,1.36492603378998,1.19008848583575,0.126030783601807,1.20526461189688
"3","AL7911",122,"6B3","6B5",40.5167,-67.9333,3,"GB",27,27,14,"10/23/1979",10,23,1979,296,"6:02",92,"Fall",15.33,33.361,12.39,35.338,33.98,0.24,1.5327543789925,1.19757089167221,0.126030783601807,1.20270003848865
"4","AL8010",105,"6B3","6B5",40.5167,-67.9333,3,"GB",27,27,14,"10/18/1980",10,18,1980,292,"4:13",101,"Fall",14.34,33.038,NA,NA,29.82,0.24,1.47625179600703,1.24552310494114,0.126030783601807,1.21340580510178
"5","AL8110",22,"6B3","6B5",40.9667,-68.5333,3,"GB",30,30,16,"9/1/1981",9,1,1981,244,"3:05",58,"Fall",NA,NA,NA,NA,11.36,0.24,1.05994188806195,1.0725133685346,0.126030783601807,1.18522731778834
"6","AL8211",279,"6B3","6B5",40.4333,-68.0333,3,"GB",26,26,13,"10/20/1982",10,20,1982,293,"14:11",139,"Fall",NA,NA,NA,NA,1.95,0.24,0.315970345456918,1.06814916411543,0.126030783601807,1.15476900301982
"7","AL8308",273,"6B3","6B5",40.8667,-68.15,3,"GB",27,27,14,"10/11/1983",10,11,1983,284,"6:19",55,"Fall",NA,NA,NA,NA,18.67,0.24,1.27392678010053,0.92821409698477,0.126030783601807,1.10239412524963
"8","AL8408",230,"6B3","6B5",40.1167,-68.65,3,"GB",26,26,13,"10/7/1984",10,7,1984,281,"11:17",195,"Fall",NA,NA,NA,NA,1.8,0.24,0.28330122870355,1.0028279567724,0.126030783601807,1.06344553826967
"9","AL8508",282,"6B3","6B5",41.8167,-68.1167,3,"GB",32,32,17,"10/23/1985",10,23,1985,296,"19:10",84,"Fall",NA,NA,NA,NA,29.29,0.24,1.46849502450707,1.1259639597057,0.126030783601807,1.03953370922258
"10","AL8605",219,"6B3","6B5",40.5333,-68.3333,3,"GB",27,27,14,"10/17/1986",10,17,1986,290,"21:33",98,"Fall",NA,NA,NA,NA,1.35,0.24,0.167317334748176,0.916080423542365,0.126030783601807,1.00824712022413
"11","AL8707",175,"6B3","6B5",40.25,-68.5667,3,"GB",26,26,13,"10/3/1987",10,3,1987,276,"9:27",132,"Fall",NA,NA,NA,NA,10.23,0.24,1.01494034979294,1.19024053750802,0.126030783601807,1.03266539490265
"12","AL8809",207,"6B3","6B5",41.3667,-66.7333,3,"GB",29,29,15,"10/11/1988",10,11,1988,285,"4:54",76,"Fall",NA,NA,NA,NA,18.67,0.24,1.27392678010053,1.27847291877968,0.126030783601807,1.10271715926163
"13","DE8906",208,"6B3","6B5",41.1,-68.3167,3,"GB",30,30,16,"10/9/1989",10,9,1989,282,"8:57",44,"Fall",NA,NA,NA,NA,24.25,0.24,1.38685552918472,1.43828831233455,0.126030783601807,1.18980923037406
"14","DE9011",219,"6B3","6B5",40.4167,-68.8167,3,"GB",27,27,14,"10/7/1990",10,7,1990,280,"12:45",79,"Fall",16.26,33.272,15.19,35.109,19.28,0.24,1.28780172993023,1.15772168851127,0.126030783601807,1.19616077613518
"15","DE9110",222,"6B3","6B5",41,-67.5167,3,"GB",27,27,14,"10/6/1991",10,6,1991,279,"1:05",66,"Fall",15.78,32.459,13.6,32.508,52.49,0.24,1.72106830179716,1.25845985097027,0.126030783601807,1.26463666162076
"16","AL9211",231,"6B3","6B5",42.0333,-66.5167,3,"GB",29,29,15,"10/11/1992",10,11,1992,285,"8:03",79,"Fall",13.62,32.35,9.16,32.556,14.6,0.24,1.16790781000148,1.1480025145604,0.126030783601807,1.25618905703124
"17","DE9311",232,"6B3","6B5",40.9833,-67.4,3,"GB",27,27,14,"10/7/1993",10,7,1993,280,"23:03",71,"Fall",14.39,32.29,13.23,32.787,28.11,0.24,1.45071087814692,1.28685522782431,0.126030783601807,1.25786551884016
"18","AL9409",181,"6B3","",40.25,-68.3667,3,"GB",26,26,13,"10/5/1994",10,5,1994,278,"9:33",165,"Fall",16.77,33.956,12.1,35.529,31.31,0.24,1.49734438101758,1.51179967931579,0.126030783601807,1.27256779223641
"19","AL9512",209,"6B3","",41.2833,-68.0667,3,"GB",30,30,16,"10/3/1995",10,3,1995,276,"15:14",43,"Fall",16.74,32.523,16.64,32.521,18.81,0.24,1.2771506139638,1.04726014445518,0.126030783601807,1.25047548342519
"20","AJ9604",55,"6B3","",40.9667,-68.75,3,"GB",27,27,14,"11/10/1996",11,10,1996,315,"14:29",70,"Fall",NA,NA,NA,NA,19.11,0.24,1.28397928423848,1.37384401407105,0.126030783601807,1.27355231604535
"21","AL9711",200,"6B3","",40.2333,-68.615,3,"GB",26,26,13,"10/8/1997",10,8,1997,281,"15:53",137,"Fall",19.71,34.357,12.59,35.241,15.1,0.24,1.18241465243455,1.38640500392548,0.126030783601807,1.32123281391836
