"","cruise_name","station","zoo_gear","ich_gear","lat","lon","region","region_name","strata_47","strata_46","strata_26","date","month","day","year","doy","time","depth","season","sfc_temp","sfc_salt","btm_temp","btm_salt","volume_1m2","min_nonzero","log10_ZP","log_mean_ZP","sd_ZP","runMean_ZP"
"1","AL9811",184,"6B3","",40.5617,-68.145,3,"GB",27,27,14,"10/12/1998",10,12,1998,285,"20:03",96,"Fall",14.28,32.135,10.3,33.496,4.56,0.24,0.670245853074124,1.2339680097576,0.0979175580464886,1.2339680097576
"2","AL9910",186,"6B3Z","6B3I",40.8533,-68.6567,3,"GB",30,30,16,"10/13/1999",10,13,1999,286,"2:44",58,"Fall",15.99,32.669,15.83,32.72,16.73,0.24,1.22659990520736,1.20599229934789,0.0979175580464886,1.21998015455274
"3","AL0006",190,"6B3Z","6B3I",40.3033,-68.3233,3,"GB",26,26,13,"9/25/2000",9,25,2000,269,"13:41",145,"Fall",17.66,32.502,11.94,35.473,4.15,0.24,0.630427875025024,1.22850413167051,0.0979175580464886,1.22282148025867
"4","AL0110",192,"6B3Z","6B3I",40.2617,-68.5433,3,"GB",26,26,13,"9/26/2001",9,26,2001,269,"18:35",140,"Fall",22.5,34.785,11.88,35.523,2.02,0.24,0.330413773349191,1.08863536360602,0.0979175580464886,1.18927495109551
"5","AL0210",189,"6B3Z","6B3I",40.53,-68.68,3,"GB",27,27,14,"10/4/2002",10,4,2002,277,"21:18",69,"Fall",18.88,33.501,13.11,33.766,13.05,0.24,1.11958577496178,1.08931857023252,0.0979175580464886,1.16928367492291
"6","AL0305",96,"6B3Z","6B3I",40.2833,-68.2683,3,"GB",26,26,13,"9/22/2003",9,22,2003,265,"20:04",233,"Fall",23.5,34.568,NA,NA,16.35,0.24,1.21669359916975,1.11529045824091,0.0979175580464886,1.14554816461957
"7","AL0409",207,"6B3Z","6B3I",41.9383,-65.7233,3,"GB",28,28,13,"10/9/2004",10,9,2004,283,"5:10",231,"Fall",15.8,32.019,NA,NA,26.06,0.24,1.41796964221474,1.16257278581946,0.0979175580464886,1.13686426191389
"8","AL0508",229,"6B3Z","6B3I",41.925,-67.1267,3,"GB",30,30,16,"10/11/2005",10,11,2005,284,"6:20",53,"Fall",15.4,31.799,14.13,31.984,41.37,0.24,1.61794343482897,1.12354105561858,0.0979175580464886,1.1158716467035
"9","AL0608",191,"6B3Z","6B3I",40.61,-68.7883,3,"GB",27,27,14,"9/28/2006",9,28,2006,271,"6:15",66,"Fall",17.8,32.662,11.2,32.764,31.82,0.24,1.50433491180246,1.20795829058182,0.0979175580464886,1.13973623209866
"10","AL0707",200,"6B3Z","6B3I",40.57,-67.5017,3,"GB",27,27,14,"10/7/2007",10,7,2007,280,"4:08",106,"Fall",16.78,32.274,7.55,33.895,29.36,0.24,1.46952747918701,1.1902438063208,0.0979175580464886,1.15992127931632
"11","DE0810",75,"6B3Z","6B3I",40.11,-68.745,3,"GB",26,26,13,"11/4/2008",11,4,2008,309,"19:49",177,"Fall",22.14,35.737,14.19,35.864,8.29,0.24,0.924795995797912,1.22020758479316,0.0979175580464886,1.18090470462677
